cod_pais,cod_serie,means,año,value,countryname,countrycode,seriesname,seriescode
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2006,3.96198870899485,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2007,6.06987060733128,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2008,5.09419544811998,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2009,-.12581200299141,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2010,7.52822581812151,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2011,3.97442307944702,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2012,1.92117598509462,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2013,3.0048226702888,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2014,.503955740273241,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2015,-3.54576339347278,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2016,-3.2759169063211,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2017,1.32286905390815,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2018,1.78366676137003,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2019,1.22077782271943,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2020,-3.27675879612903,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2021,4.7626043797061,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2022,3.01669435408112,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2023,3.24165532813583,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
BRA,NY.GDP.MKTP.KD.ZG,2.1369469,2024,3.41931516597739,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
